riviere,zone,no_riviere,seuil_optimal,seuil_demo,page,annee,cap_petit,cap_grand,cap_total,remise_eau,jours_peche,succes,succes_ajuste,taux_petit,taux_grand,taux_total,retrait,prelevement,mont_mad,mont_red,mont_total,repro_mad,repro_red,repro_total,oeufs_millions
rivière Bonaventure,Q1,01080000,3.935,1.344,72,1984,52.0,485.0,537.0,,1757.0,0.31,,32.0,32.0,32.0,0.0,537.0,163.0,1517.0,1680.0,111.0,1032.0,1143.0,4.93
rivière Bonaventure,Q1,01080000,3.935,1.344,72,1985,163.0,381.0,544.0,,1697.0,0.32,,44.0,44.0,44.0,0.0,544.0,368.0,858.0,1226.0,205.0,477.0,682.0,2.13
rivière Bonaventure,Q1,01080000,3.935,1.344,72,1986,313.0,721.0,1034.0,,2414.0,0.43,,38.0,38.0,38.0,0.0,1034.0,821.0,1901.0,2722.0,508.0,1180.0,1688.0,5.08
rivière Bonaventure,Q1,01080000,3.935,1.344,72,1987,391.0,502.0,893.0,,2721.0,0.33,,32.0,32.0,32.0,0.0,893.0,1237.0,1588.0,2825.0,846.0,1086.0,1932.0,5.09
rivière Bonaventure,Q1,01080000,3.935,1.344,72,1988,476.0,1058.0,1534.0,,4293.0,0.36,,41.0,41.0,41.0,0.0,1534.0,1173.0,2610.0,3783.0,697.0,1552.0,2249.0,6.68
rivière Bonaventure,Q1,01080000,3.935,1.344,72,1989,343.0,1033.0,1376.0,,4741.0,0.29,,39.0,39.0,39.0,0.0,1376.0,878.0,2647.0,3525.0,535.0,1614.0,2149.0,7.12
rivière Bonaventure,Q1,01080000,3.935,1.344,72,1990,480.0,980.0,1460.0,,4419.0,0.33,,37.0,37.0,37.0,0.0,1460.0,1291.0,2633.0,3924.0,811.0,1653.0,2464.0,8.0
rivière Bonaventure,Q1,01080000,3.935,1.344,72,1991,399.0,699.0,1098.0,,4084.0,0.27,,30.0,30.0,30.0,37.0,1135.0,1329.0,2368.0,3697.0,930.0,1632.0,2562.0,7.14
rivière Bonaventure,Q1,01080000,3.935,1.344,72,1992,477.0,927.0,1404.0,,4038.0,0.35,,41.0,41.0,41.0,32.0,1436.0,1160.0,2284.0,3444.0,683.0,1325.0,2008.0,6.17
rivière Bonaventure,Q1,01080000,3.935,1.344,72,1993,536.0,767.0,1303.0,,4079.0,0.32,,65.0,43.0,50.0,32.0,1335.0,826.0,1770.0,2596.0,290.0,971.0,1261.0,4.33
rivière Bonaventure,Q1,01080000,3.935,1.344,72,1994,584.0,1134.0,1718.0,,4672.0,0.37,,64.0,41.0,46.0,26.0,1744.0,918.0,2800.0,3718.0,332.0,1642.0,1974.0,7.69
rivière Bonaventure,Q1,01080000,3.935,1.344,72,1995,164.0,870.0,1034.0,,4240.0,0.24,,49.0,33.0,35.0,40.0,1074.0,336.0,2609.0,2945.0,165.0,1706.0,1871.0,7.7
rivière Bonaventure,Q1,01080000,3.935,1.344,72,1996,321.0,370.0,691.0,,3268.0,0.21,,58.0,26.0,35.0,37.0,728.0,555.0,1440.0,1995.0,220.0,1047.0,1267.0,5.84
rivière Bonaventure,Q1,01080000,3.935,1.344,72,1997,401.0,385.0,786.0,,3183.0,0.25,,52.0,26.0,35.0,0.0,786.0,771.0,1493.0,2264.0,370.0,1108.0,1478.0,5.35
rivière Bonaventure,Q1,01080000,3.935,1.344,72,1998,398.0,241.0,639.0,200.0,3577.0,0.18,0.23,46.0,22.0,33.0,0.0,639.0,864.0,1090.0,1954.0,466.0,847.0,1313.0,4.9
rivière Bonaventure,Q1,01080000,3.935,1.344,72,1999,543.0,300.0,843.0,320.0,3688.0,0.23,0.32,41.0,18.0,28.0,0.0,843.0,1311.0,1699.0,3010.0,768.0,1399.0,2167.0,7.65
rivière Bonaventure,Q1,01080000,3.935,1.344,72,2000,431.0,467.0,898.0,433.0,3822.0,0.23,0.35,48.0,24.0,32.0,0.0,898.0,898.0,1915.0,2813.0,467.0,1448.0,1915.0,6.86
rivière Bonaventure,Q1,01080000,3.935,1.344,72,2001,350.0,436.0,786.0,449.0,4681.0,0.17,0.26,53.0,30.0,37.0,0.0,786.0,661.0,1448.0,2109.0,311.0,1012.0,1323.0,4.26
rivière Bonaventure,Q1,01080000,3.935,1.344,72,2002,930.0,148.0,1078.0,631.0,5016.0,0.21,0.34,59.0,14.0,41.0,1.0,1079.0,1583.0,1043.0,2626.0,652.0,895.0,1547.0,5.29
rivière Bonaventure,Q1,01080000,3.935,1.344,72,2003,451.0,608.0,1059.0,610.0,5759.0,0.18,0.29,52.0,27.0,34.0,3.0,1062.0,874.0,2243.0,3117.0,423.0,1632.0,2055.0,7.76
rivière Bonaventure,Q1,01080000,3.935,1.344,72,2004,897.0,401.0,1298.0,584.0,5842.0,0.22,0.32,58.0,27.0,43.0,0.0,1298.0,1544.0,1465.0,3009.0,647.0,1064.0,1711.0,5.51
rivière Bonaventure,Q1,01080000,3.935,1.344,72,2005,335.0,524.0,859.0,526.0,5784.0,0.15,0.24,64.0,35.0,43.0,0.0,859.0,522.0,1479.0,2001.0,187.0,955.0,1142.0,4.66
rivière Bonaventure,Q1,01080000,3.935,1.344,72,2006,452.0,228.0,680.0,467.0,5556.0,0.12,0.21,48.0,22.0,35.0,0.0,680.0,949.0,1019.0,1968.0,497.0,791.0,1288.0,3.93
rivière Bonaventure,Q1,01080000,3.935,1.344,72,2007,208.0,158.0,366.0,244.0,4352.0,0.08,0.14,49.0,18.0,28.0,0.0,366.0,421.0,894.0,1315.0,213.0,736.0,949.0,3.33
rivière Bonaventure,Q1,01080000,3.935,1.344,72,2008,848.0,0.0,848.0,809.0,4873.0,0.17,0.34,60.0,0.0,39.0,1.0,849.0,1424.0,753.0,2177.0,576.0,752.0,1328.0,3.54
rivière Bonaventure,Q1,01080000,3.935,1.344,72,2009,328.0,0.0,328.0,816.0,5082.0,0.06,0.23,59.0,0.0,17.0,0.0,328.0,552.0,1430.0,1982.0,224.0,1430.0,1654.0,6.54
rivière Bonaventure,Q1,01080000,3.935,1.344,72,2010,434.0,0.0,434.0,1129.0,6135.0,0.07,0.25,59.0,0.0,17.0,7.0,441.0,737.0,1851.0,2588.0,301.0,1846.0,2147.0,8.44
