riviere,seuil_optimal,page
rivière Bonaventure,"3,935",72
Petite rivière Cascapédia,"3,076",74
rivière Cascapédia,"7,164",76
rivière Nouvelle,"2,806",78
rivière Matapédia,"10,415",80
rivière Causapscal,"2,420",82
rivière Kedgwick,"1,027",84
rivière Patapédia,"2,806",86
rivière Grande Rivière,"0,997",88
rivière du Petit Pabos,"1,302",90
rivière du Grand Pabos,"1,298",92
rivière du Grand Pabos Ouest,"0,717",94
rivière Port-Daniel du Milieu,,96
Petite rivière Port-Daniel,"0,260",98
rivière Port-Daniel Nord,"0,415",100
rivière de l'Anse à la Barbe,,102
rivière Malbaie,"0,348",104
rivière Saint-Jean,"2,121",106
rivière York,"3,514",108
rivière Dartmouth,"1,872",110
rivière Madeleine,"2,180",112
rivière de Mont-Louis,"0,177",114
rivière Sainte-Anne,"1,294",116
rivière Cap-Chat,"1,187",118
rivière Matane,"4,594",120
rivière Mitis,"3,029",122
rivière Rimouski,"1,445",124
rivière du Sud-Ouest,"0,092",126
rivière Ouelle,"1,634",128
rivière Jacques-Cartier,"5,068",130
rivière du Gouffre,"1,938",132
rivière Petit Saguenay,"1,630",136
rivière À Mars,"1,338",140
rivière Sainte-Marguerite principale,"3,385",142
rivière Sainte-Marguerite Nord-Est,"1,914",144
rivière des Escoumins,"2,503",146
rivière Laval,"1,002",148
rivière Betsiamites,"5,101",150
rivière aux Anglais,"0,103",152
rivière Franquelin,"0,229",154
rivière Godbout,"5,600",156
rivière de la Trinité,"1,657",158
Petite rivière de la Trinité,"0,224",160
rivière Pentecôte,"0,518",162
rivière aux Rochers,"5,805",164
rivière Mistassini,"0,181",166
rivière Moisie,"32,257",169
rivière Pigou,"0,027",171
rivière au Bouleau,"0,145",173
rivière Sheldrake,"0,132",175
rivière Jupitagon,"0,526",177
rivière Magpie,,179
rivière Mingan,"2,814",183
rivière Romaine,"6,428",185
rivière de la Corneille,"0,150",187
rivière Piashti,"0,137",189
rivière Watshishou,"2,117",191
Petite rivière Watshishou,"0,302",193
rivière Nabisipi,"3,679",195
rivière Aguanus,"0,402",197
rivière Natashquan,"68,330",199
rivière Kégaska,"0,386",202
rivière Musquaro,"0,019",204
rivière Musquanousse,"0,122",206
rivière Washicoutai,"0,081",208
rivière Olomane,"1,748",210
rivière Étamamiou,"3,872",212
rivière Nétagamiou,"0,072",214
rivière du Gros Mécatina,"0,140",216
rivière Véco,"0,033",218
rivière Kécarpoui,"0,115",220
rivière Saint-Augustin,"6,987",222
rivière Saint-Augustin Nord-Ouest,"1,014",224
rivière Coxipi,"1,629",226
rivière Chécatica,"0,013",228
rivière Napetipi,"1,467",230
rivière du Vieux Fort,"0,447",232
rivière Saint-Paul,"7,433",234
ruisseau des Belles Amours,"0,017",236
rivière Brador Est,"0,159",238
ruisseau au Saumon,"0,251",240
Petite rivière de la Loutre,"0,381",243
rivière Bell,"0,342",245
ruisseau Box,"0,284",247
rivière Dauphiné,"0,632",249
rivière de la Chaloupe,"0,693",251
Petite rivière de la Chaloupe,,253
rivière Maccan,,255
rivière Ferrée,"0,277",257
ruisseau Martin,,259
rivière du Pavillon,"0,213",261
rivière aux Plats,"0,292",263
rivière Chicotte,"0,326",265
rivière Galiote,"0,590",267
rivière du Brick,,269
rivière Jupiter,"1,399",271
rivière à la Loutre,"0,385",273
rivière aux Cailloux,"0,311",275
rivière Sainte-Marie,"0,284",277
rivière Bec-Scie,"0,246",279
rivière à l'Huile,"0,309",281
rivière MacDonald,"0,311",283
rivière à la Patate,"0,209",285
rivière Vauréal,"0,244",287
rivière aux Saumons,"1,150",289
rivière du Renard,"0,337",291
rivière aux Feuilles,,293
rivière Koksoak,,295
rivière à la Baleine,,297
rivière George,,299
autres rivières,,301
