riviere,cat1_m2,cat2_m2,cat3_m2,total_m2,tributaires
Bec-Scie,61390,36171,67008,164569,oui
Bell,49079,126890,16345,192314,oui
Ruisseau Box,61713,77167,13540,152420,oui
de la Chaloupe,206260,281700,58350,546310,non
Chicotte,107947,71552,4731,184230,oui
Dauphiné,185425,146299,40610,372334,oui
Ferrée,55866,69974,27625,153465,oui
Galiote,280285,67635,58290,406210,oui
à l'Huile,90376,62383,41099,193858,oui
Jupiter,1336775,753727,212742,2303244,oui
à la Loutre,116120,82230,51660,250010,non
MacDonald,90631,77228,24682,192541,oui
à la Patate,65195,30340,18913,114448,oui
du Pavillon,69745,43614,2584,115943,oui
"de la Loutre, petite",174693,39651,0,214344,oui
aux Plats,98388,54052,3924,156364,non
du Renard,112505,50028,74286,236819,oui
aux Saumons,246720,317269,307012,871001,non
Vauréal,93820,29710,14590,138120,non
Sainte-Marie,39600,38310,139550,217460,oui
aux Cailloux,128995,8230,117230,254455,non
