riviere,habitat_up,prob_retour_pct
Petite rivière de la Loutre,135871,3.4
Bell,119414,2.6
Ruisseau Box,97817,2.3
Dauphiné,242728,3.4
De la Chaloupe,331119,12.7
Ferrée,92933,3.6
Du Pavillon,68722,1.5
Aux Plats,99591,1.2
Chicotte,113614,1.0
Galiote,222687,2.0
Jupiter,1186836,27.6
À la Loutre,137147,5.1
Aux Cailloux,108829,1.8
Sainte-Marie,94790,2.1
Bec-Scie,82495,3.1
À l'Huile,107262,1.5
MacDonald,108849,2.8
A la Patate,67124,2.5
Vauréal,79669,1.7
Aux Saumons,453875,11.8
Du Renard,117570,1.1
Ruisseau Martin,91115,1.0
Maccan,115434,2.0
Petite rivière de la Chaloupe,106134,1.6
Du Brick,81743,0.6
