riviere,Site,Average 2003-2007,Average 2008-2012,Average 2013-2017,Average 2018-2022,2023,2024,2025,2026
Restigouche River,1 - Upsalquitch Protection Barrier Bar Graph and Tabular Report,371,455,*,*,N/A,N/A,N/A,N/A
Restigouche River,2 - Little Main Counting Fence Bar Graph and Tabular Report,*,*,*,*,N/A,N/A,N/A,N/A
Jacquet River,3 - Jacquet River Protection Barrier Bar Graph and Tabular Report,293,159,172,116,N/A,42,N/A,N/A
Nepisiguit River,4 - Nepisiguit Counting Fence Bar Graph and Tabular Report,130,*,*,*,N/A,N/A,N/A,N/A
Miramichi River,5 - Northwest Protection Barrier Bar Graph and Tabular Report,199,223,125,*,N/A,N/A,N/A,N/A
Miramichi River,6 - Northwest Cassilis Trapnet Bar Graph and Tabular Report,382,330,384,*,81,125,28,N/A
Miramichi River,7 - Southwest Millerton Trapnet Bar Graph and Tabular Report,977,680,576,*,N/A,202,75,N/A
Miramichi River,8 - Dungarvon Protection Barrier Bar Graph and Tabular Report,190,207,179,96,N/A,N/A,N/A,N/A
Miramichi River,9 - Southwest Juniper Barrier Bar Graph and Tabular Report,789,*,*,*,N/A,N/A,N/A,N/A
Saint John River,10 - Mactaquac Dam Bar Graph and Tabular Report,506,429,134,111,31,50,17,N/A
Saint John River,11 - Fishway Tinker Dam Bar Graph and Tabular Report,*,19,2,*,0,1,0,N/A
Saint John River,12 - Nashwaak River Counting Fence Bar Graph and Tabular Report,115,144,38,*,N/A,N/A,9,N/A
Magaguadavic River,13 - St. George Fishway Bar Graph and Tabular Report,*,*,2,*,0,0,0,N/A
St. Croix River,14 - Milltown Fishway Bar Graph and Tabular Report,*,*,*,*,N/A,N/A,N/A,N/A
Sackville River,15 - Sackville River Counting Fence Bar Graph and Tabular Report,10,15,3,2,N/A,2,2,N/A
LaHave River,16 - Morgan Falls Fishway Bar Graph and Tabular Report,*,64,43,*,44,29,16,N/A
