annee,seao,titre,organisme,adjudicataire,categorie
Année 2009,283978,SIC 7105-08-HZ02 Surveillance &amp; suivi des aménagements d'habitat du poisson sur 4 tronçons -,"Ministère des Transports, de la Mobilité durable et ",,S14 - Services publics
Année 2010,405141,"Planage à froid, fabrication et pose d'enrobés bitumineux sur la route 132 (Causapscal et Lac-au","Ministère des Transports, de la Mobilité durable et ",,C03 - Autres travaux de constr
Année 2010,436339,"Plantage de poteaux de glissières de sécurité en bois sur diverses routes (Sayabec, Lac-au-Saumo","Ministère des Transports, de la Mobilité durable et ",,C03 - Autres travaux de constr
Année 2010,475774,SIC6703-10-QH03 Caractérisation de cours d'eau sur un nouveau tronçon de la route 138 entre la r,"Ministère des Transports, de la Mobilité durable et ",,S14 - Services publics
Année 2011,403937,Caractériser l'habitat du poisson dans  5 secteurs côtiers du Bas-Saint-Laurent et de la Gaspési,"Ministère des Transports, de la Mobilité durable et ",,S2 - Études spéciales et analy
Année 2011,482061,Génotypage DNA échantillons saumons de l'Atlantique,Université Laval,,G4 - Produits et spécialités c
Année 2011,482420,Rédaction du Guide de normalisation des méthodes d'inventaire ichtyologique en eaux intérieures ,Ministère de l'Énergie et des Ressources naturelles,,S6 - Services de ressources na
Année 2011,503716,Aménagement d’un projet de compensation pour l’habitat du poisson (La Prairie),"Ministère des Transports, de la Mobilité durable et ",,C03 - Autres travaux de constr
Année 2011,507817,Étude comportementale sur l'impact de la remise à l'eau du saumon d'Atlantique,Ministère de l'Énergie et des Ressources naturelles,,S2 - Études spéciales et analy
Année 2011,532598,Réalisation d'un devis de remise en état des frayères répertoriées du ruisseau Jourdain à Rivièr,Ministère de l'Énergie et des Ressources naturelles,,S6 - Services de ressources na
Année 2012,558998,Services professionnels pour la surveillance environnementale et technique des travaux d'amélior,Ville de Repentigny.,,S5 - Services environnementaux
Année 2012,567296,Caractérisation de la rivière Yamaska,Ville de Saint-Hyacinthe .,,S2 - Études spéciales et analy
Année 2012,571598,"Installation de glissière de sécurité sur poteaux d’acier (Amqui, Val-Brillant, Ste-Maguerite, C","Ministère des Transports, de la Mobilité durable et ",,C03 - Autres travaux de constr
Année 2012,578953,Caractérisation des cours d'eau situés dans le bassin de la rivière Magog,Ville de Sherbrooke,,O1 - Indéterminé
Année 2013,226864,Caractériser l'habitat du poisson dans sept secteurs du Bas-Saint-Laurent et de la Gaspésie,"Ministère des Transports, de la Mobilité durable et ",,S5 - Services environnementaux
Année 2013,600626,"Résidence Marie-Anne Ouellet, Lac-au-Saumon - Centralisation des services alimentaires lot #2",Centre de santé et de services sociaux de la Matapéd,,C01 - Bâtiments
Année 2013,616774,Services professionnels pour la caractérisation de cours d'eau dans le bassin versant de la rivi,Ville de Sherbrooke,,S5 - Services environnementaux
Année 2013,623903,Génotypage et analyses d’échantillons d’ADN sur une bio-puce à marqueurs mononucléotidiques pour,Université Laval,,G27 - Instruments scientifique
Année 2013,634146,Projet de compensation de l'habitat du poisson,Énergie Hydroélectrique Ouiatchouan,,S5 - Services environnementaux
Année 2013,664026,"6605-13-PZ01 Aménagement de l'habitat du poisson, ruisseau Fraser à Beauceville","Ministère des Transports, de la Mobilité durable et ",,S14 - Services publics
Année 2014,692827,"Remplacement de deux ponts acier-bois, au-dessus des rivières Vauréal et aux Saumons (Île-d'Anti","Ministère des Transports, de la Mobilité durable et ",,C02 - Ouvrages de génie civil
Année 2014,714075,Préparation d'un rapport de caractérisation environnementale de la rivière Chaudière suite au dé,Ministère du Développement durable de l'Environnemen,,S5 - Services environnementaux
Année 2014,717145,Réalisation d'un outil régional d'aide à la décision favorisant la conservation et la mise en va,Conférence Régionale des élu(e)s de la Chaudière-App,,O1 - Indéterminé
Année 2014,787915,Aménagement de compensation pour habitat du poisson dans la branche 9 du ruisseau Beloeil (Saint,"Ministère des Transports, de la Mobilité durable et ",,C02 - Ouvrages de génie civil
Année 2014,799045,"6301-14-1022 - Contrat de planage à froid, fabrication et pose d'enrobé sur rte 95270 (rue des S","Ministère des Transports, de la Mobilité durable et ",,C02 - Ouvrages de génie civil
Année 2014,803629,"Préparation de la surface granulaire, fabrication et pose d'enrobé bitumineux sur la route 132 (","Ministère des Transports, de la Mobilité durable et ",,C02 - Ouvrages de génie civil
Année 2015,909665,"Résidence Marie-Anne Ouellet, Lac-au-Saumon - Remplacement de la fenestration, phase 2",Centre de santé et de services sociaux de la Matapéd,,C01 - Bâtiments
Année 2015,910658,"Fabrication, pose d'enrobé et planage à froid sur la route Saint-Edmond (Lac-au-Saumon)","Ministère des Transports, de la Mobilité durable et ",,C02 - Ouvrages de génie civil
Année 2015,919294,"6605-15-PZ01 Aménagement pour l'habitat du poisson,  dans le ruisseau Morency à Vallée-Jonction ","Ministère des Transports, de la Mobilité durable et ",,S14 - Services publics
Année 2015,936831,Génomique (séquançage) du saumon Coho,Université Laval,,S1 - Recherche et développemen
Année 2016,937834,Construction d'une frayère à esturgeons dans la rivière Chaudière (Lévis),"Ministère des Transports, de la Mobilité durable et ",,C02 - Ouvrages de génie civil
